监测点,AQI指数,空气质量状况,PM10,PM2.5,Co,No2,So2,O3
万寿西宫,0,,33,8,0.5,15,0,57
定陵(对照点),35,优,35,4,0.2,1,2,76
东四,31,优,31,7,0.2,7,3,67
天坛,39,优,39,12,0.4,13,2,72
农展馆,55,良,60,7,0.1,14,2,60
官园,26,优,26,8,0.2,16,3,61
海淀万柳,27,优,27,6,0.3,11,3,67
顺义新城,44,优,44,7,0.4,16,2,62
怀柔镇,24,优,14,3,0.1,5,1,76
昌平镇,61,良,72,7,0.3,9,3,65
奥体中心,33,优,33,6,0.1,6,2,70
古城,53,良,55,9,0.2,10,2,66
延庆夏都,32,优,32,5,0.2,4,3,76
平谷新城,27,优,27,6,0.2,12,1,65
门头沟三家店,38,优,38,7,0.2,6,2,70
丰台云岗,35,优,35,15,0.3,25,4,57
通州东关,43,优,43,7,0.2,10,1,63
房山燕山,33,优,33,12,0.2,27,3,59
大兴旧宫,28,优,28,9,0.3,10,1,64
延庆石河营,28,优,28,5,0.2,5,2,77
怀柔新城,28,优,28,3,0.1,6,1,75
丰台小屯,39,优,39,11,0.3,15,1,63
密云镇,25,优,25,4,0.4,8,2,65
,,,,,,,,
