,职位名称,城市名称,发布时间,薪资范围,经验范围,学历要求,公司名称,公司介绍
0,初中高级前端开发工程师,深圳,16:21,15k-25k,经验3-5年,本科,中电金信,"['IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上', '金融业', '科技金融', 'Angular', 'React', 'Vue', '“六险一金、年度体检、国企”']"
1,算法工程师（运筹学方向）,深圳,16:21,20k-30k,经验3-5年,本科,云印技术,"['电商平台 / B轮 / 150-500人', '人工智能服务', 'Python', 'MATLAB', '“产业互联网”']"
2,Python数据分析师,北京,16:21,15k-20k,经验1-3年,本科,北京指南针,"['科技金融 / 上市公司 / 500-2000人', '绩效奖金', '岗位晋升', '定期体检', '五险一金', '“上市公司”']"
3,高级/资深c++开发工程师,上海,16:21,25k-45k,经验3-5年,本科,青藤云安全,"['信息安全 / C轮 / 500-2000人', '信息安全', 'Windows', 'Linux', '“餐补 独角兽公司”']"
4,视觉设计师,北京,16:21,11k-15k,经验3-5年,大专,全速创想数字科技（杭州）有限公司,"['IT技术服务｜咨询 / 不需要融资 / 500-2000人', '电商平台', '移动端/APP设计', '广告创意设计', '“年终奖金年前发放双休五险一金带薪休假”']"
5,高级java开发工程师（创新业务）,杭州,16:21,25k-50k,经验3-5年,本科,阿里巴巴集团,"['电商平台,人工智能服务 / 上市公司 / 2000人以上', '电商平台', '新零售', 'Spring', 'Struts', '“新业务、发展潜力、福利好”']"
6,直播运营负责人（北京） (MJ000074),北京,16:21,40k-60k,经验5-10年,本科,红布林,"['电商平台 / B轮 / 150-500人', '电商平台', 'TO C', '“二奢赛道头部”']"
7,产品专员,合肥,16:21,6k-9k,经验1-3年,本科,视尔信息,"['移动互联网,人工智能 / 天使轮 / 50-150人', '人工智能服务', 'TO G', '软硬件解决方案', '“老板nice 公司重点项目 7.5h+双休”']"
8,机械结构工程师,深圳,16:21,13k-20k,经验3-5年,大专,众创三维,"['新零售,营销服务｜咨询 / 未融资 / 150-500人', '电商平台', '贸易｜进出口', 'PADS', 'AUTOCAD', 'Solidworks', '“年终奖、年度调薪、五险一金”']"
9,资深ui设计师,北京,16:21,18k-35k,经验5-10年,本科,华图在线,"['在线教育 / D轮及以上 / 150-500人', '手绘', '“加班可调休，带薪年假”']"
10,测试工程师,深圳,16:21,8k-13k,经验1-3年,本科,汇合,"['科技金融 / 不需要融资 / 2000人以上', '科技金融', 'SQL', '功能测试', '“双休，加班费”']"
11,社群运营,天津,16:21,2k-4k,经验在校,应届,职引科技,"['软件服务｜咨询,IT技术服务｜咨询,在线教育 / 天使轮 / 15-50人', '软件服务｜咨询', '数据服务｜咨询', 'TO C', '用户运营', '内容运营', '“可转正、学习空间”']"
12,策略产品实习生,北京,16:21,4k-8k,经验在校,应届,字节跳动,"['内容资讯,短视频 / D轮及以上 / 2000人以上', '产品经理', '“下午茶,健身瑜伽,团队氛围好,扁平管理”']"
13,用户服务专员（客服专员 base 深圳）,深圳,16:21,5k-7k,经验不限,大专,多点科技,"['内容社区,内容资讯,游戏 / 上市公司 / 50-150人', '游戏', '“创新业务、CEO带队、发展前景好”']"
14,游戏主播,重庆,16:20,10k-15k,经验不限,不限,竟虚网络,"['营销服务｜咨询,影视｜动漫,新媒体 / 不需要融资 / 50-150人', '游戏电竞主播', '“高薪运营摄影团队”']"
15,UED视觉设计师,深圳,16:21,15k-25k,经验3-5年,本科,中电金信,"['IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上', '金融业', '科技金融', 'C4D', '品牌营销设计', '“六险一金、年度体检、国企”']"
